catalog,glong,glat,size,comments,assoc_flag,assoc,Name,Alias,Simbad_comments,VGPS Exclude,MAGPIS Exclude,Parallax,magpis,nvss_match,Cornish,Yusef 20cm GC,Lang Radio,Lang Paschen,THOR
no_radio,0.496929,-0.827033,16.0999,,0,,,,,0,1,,0,0,0,0,0,0,0
observe,0.497333,0.159427,60.4152,6cm,0,,FA214,,,0,0,,1,0,0,0,0,0,0
known,0.498347,-0.677838,54.9624,,0,,G000.489-00.668,,,0,0,,0,0,0,0,0,0,0
no_radio,0.501283,0.190801,12.7326,,1,FA213 ,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.504062,-0.788909,35.4183,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.519275,0.177273,8.51127,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.51997,-0.0508173,208.196,,0,,G000.510-00.051,Sgr B1,,0,0,,0,0,0,0,0,0,0
no_radio,0.520898,0.195536,16.0826,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.522773,-0.0106701,27.0204,,0,,,,,0,0,,0,0,0,0,1,0,0
no_radio,0.523739,0.168886,9.49364,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.525092,0.190936,9.22176,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.52817,0.180976,25.672,,0,,G000.521+00.178,,,0,0,,0,0,0,0,0,0,0
observe,0.529765,-0.106246,27.1552,,0,,,,,0,0,,0,0,0,0,1,0,0
observe,0.530131,0.131702,50.5506,,0,,FA216,,,0,0,,0,0,0,0,0,0,0
no_radio,0.53038,-0.155807,29.4175,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.533332,-0.0817726,66.8632,,1,G000.510-00.051,,,,0,0,,0,0,0,0,0,0,0
known,0.534824,0.168883,31.2643,,1,G000.521+00.178,FA217,,,0,0,,1,0,0,0,0,0,0
no_radio,0.5413,-0.0456248,20.4662,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.544302,-0.226129,128.528,,0,,FA218,,,0,0,,0,0,0,0,0,0,0
observe,0.54725,-0.059607,20.4662,,0,,,,,0,0,,0,0,0,0,2,0,0
known,0.548089,-0.851137,28.2152,,1,G000.561-00.850; G00.58; S21,,,,0,1,,0,0,0,0,0,0,0
known,0.548581,-0.835273,41.7092,,1,G000.561-00.850; G00.58; S21,,,,0,1,,0,0,0,0,0,0,0
observe,0.551446,0.06012,90.0997,,0,,FA219,,,0,0,,0,0,0,0,1,0,0
no_radio,0.557067,-0.078944,20.4662,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.563339,-0.851875,35.8158,,1,G000.561-00.850; G00.58; S21,,,,0,1,,0,0,0,0,0,0,0
observe,0.563585,-0.0365158,23.1136,,0,,,,,0,0,,0,0,0,0,1,0,0
observe,0.563831,-0.823344,39.6281,,1,G000.561-00.850; G00.58; S21,,,,0,1,,0,0,0,0,0,0,0
no_radio,0.567274,-0.0966533,20.3523,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.574469,0.128979,19.6834,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.57908,-0.0446325,24.6399,,0,,,,,0,0,,0,0,0,0,2,0,0
known,0.573,-0.855,149.5116,downes rrls,0,,G000.561-00.850; G00.58; S21,,,0,1,,0,0,0,0,0,0,0
known,0.583828,-0.868,49.5116,downes rrls,0,,G000.561-00.850; G00.58; S21,,,0,1,,0,0,0,0,0,0,0
observe,0.586828,-0.126537,15.2939,,0,,,,,0,0,,0,0,0,0,1,0,0
no_radio,0.587074,-0.085585,28.5113,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.591558,0.0507395,42.5002,6cm,0,,FA220,,,0,0,,1,0,0,0,0,0,0
observe,0.593237,-0.0464515,92.767,known???,0,,,,,0,0,,0,0,0,0,1,0,0
known,0.595643,-0.617402,215.253,,0,,G000.572-00.628,,,0,0,,0,0,0,0,0,0,0
no_radio,0.596298,-0.170564,16.0461,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.599741,-0.0481989,19.8642,6cm,0,,FQ103; FQ104,Sgr B1,,0,0,,1,0,0,0,0,0,0
no_radio,0.600233,-0.120634,11.2123,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.601586,-0.0686137,22.4368,,0,,,,,0,0,,0,0,0,0,1,0,0
observe,0.602446,-0.0505356,18.9603,6cm,0,,FQ104,Sgr B1,,0,0,,1,0,0,0,0,0,0
known,0.602836,0.333658,83.6117,,0,,G000.605+00.325; G000.605+00.329,,,0,0,,0,0,0,0,0,0,0
observe,0.605568,-0.201686,42.5,,0,,FA222,,,0,0,,0,0,0,1,0,0,0
observe,0.616466,-0.0512735,21.3295,,0,,,,,0,0,,0,0,0,0,2,0,0
observe,0.624921,-0.0455566,42.7232,,0,,,,,0,0,,0,0,0,0,2,0,0
observe,0.630235,-0.026885,42.5,,0,,FA223,,,0,0,,0,0,0,0,0,0,0
observe,0.638866,-0.114406,49.1771,,0,,FA224,Sgr B2,,0,0,,0,0,0,0,0,0,0
known,0.649113,-0.0796445,95.2605,,0,,G000.656-00.058; G000.665-00.035,Sgr B2,,0,0,Sgr B2,0,0,0,0,0,0,0
known,0.657044,-0.0408458,24.7997,,1,G000.656-00.058; G000.665-00.035,,,Sgr B2 South,0,0,Sgr B2,1,0,0,0,0,0,0
no_radio,0.660309,-0.0519498,14.3256,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.66617,-0.0359266,16.6851,,1,G000.656-00.058; G000.665-00.035,Sgr B2 Main,Sgr B2,,0,0,,1,0,0,0,0,0,0
observe,0.666432,-0.0504483,19.4101,,1,G000.656-00.058; G000.665-00.035,Sgr B2 North,,,0,0,,0,0,0,1,0,0,0
known,0.668534,0.641751,343.014,,0,,G000.640+00.623,,,0,0,,0,0,0,0,0,0,0
observe,0.670332,-0.0420499,14.6153,,1,FQ110,FQ107,,,0,0,,1,0,0,0,0,0,0
known,0.670455,-0.0344252,19.8841,,1,FQ110,FQ108,,,0,0,,1,0,0,0,0,0,0
observe,0.674812,0.0833375,61.4155,,0,,FA228,,,0,0,,0,0,0,0,0,0,0
known,0.676481,-0.0421729,13.5121,,1,FQ110,FQ109,,,0,0,,1,0,0,0,0,0,0
observe,0.681217,-0.0639837,31.722,,0,,,,,0,0,,0,0,0,0,2,0,0
observe,0.681755,-0.0345739,27.6327,,0,,FQ110,Sgr B2,,0,0,,1,0,0,0,0,0,0
observe,0.692359,-0.0461385,25.576,,0,,FA229,Sgr B2,,0,0,,1,0,0,0,0,0,0
observe,0.697524,-0.0525334,25.576,,0,,FA229,Sgr B2,,0,0,,1,0,0,0,0,0,0
observe,0.71153,-0.0388524,26.0414,,0,,,,,0,0,,0,0,0,1,0,0,0
observe,0.719584,0.0290667,42.5,,0,,FA230,,,0,0,,0,0,0,0,0,0,0
known,0.729,-0.103,72.1232,,0,,FA074,,,0,0,,0,0,0,0,0,0,0
no_radio,0.755714,-0.0261314,36.8908,,0,,,,,0,0,,0,0,0,0,0,0,0
no_radio,0.775465,-0.0864656,43.8106,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.800994,0.0103489,61.2302,,0,,FA231,,,0,0,,0,0,0,0,0,0,0
no_radio,0.801909,0.205614,39.1401,,0,,,,,0,0,,0,0,0,0,0,0,0
observe,0.820919,-0.25394,40.9165,,0,,,,,0,0,,0,0,0,0,0,0,0
known,0.82944,0.198783,190.241,,0,,FA075,,,0,0,,0,0,0,0,0,0,0
no_radio,0.834578,-0.456994,454.803,,0,,FA233,,,0,0,,0,0,0,0,0,0,0
observe,0.843215,-0.105551,42.5,,0,,FA232,,,0,0,,0,0,0,0,0,0,0
no_radio,0.929599,-0.519467,42.5,,0,,FA236,,,0,0,,0,0,0,0,0,0,0
no_radio,0.930957,-0.234283,42.5,,0,,FA237,,,0,0,,0,0,0,0,0,0,0
no_radio,0.95755,-0.233378,36.0997,,0,,,,,0,0,,0,0,0,0,0,0,0
